Component,Quantity,Supplier,Estimated Price (USD)
"Rectifier Bridge (50A, 1000V)",1,Mouser Electronics,5.0
Voltage Regulator (LM317),1,Digi-Key,3.5
Signal Controller (Microcontroller),1,SparkFun,12.0
"Electrolytic Capacitor (1000uF, 50V)",2,Mouser Electronics,1.2
"Ceramic Capacitor (0.1uF, 50V)",4,Digi-Key,0.5
"Inductor (100uH, 5A)",1,Adafruit,2.5
LCD Display (16x2 I2C),1,Amazon,8.0
"Power Switch (Toggle, 250V 10A)",1,Mouser Electronics,4.5
"Emergency Stop Button (NC, 250V 5A)",1,Digi-Key,6.0
"Output Terminals (Screw Type, 600V 20A)",3,Amazon,3.0
PCB Board (Custom Etched),1,Custom Fabrication,15.0
Copper Traces (35μm Thickness),N/A,N/A,N/A
Resistors (Assorted 1kΩ - 10kΩ),5,Mouser Electronics,0.2
Diodes (1N4007),4,Digi-Key,0.3
Heatsinks for Voltage Regulator & Rectifier,2,Amazon,3.0
Conformal Coating (Protective Layer),1,Digi-Key,6.0
Wire Connectors (JST & Screw Terminals),10,Amazon,0.5
